katedra,zkratka,idno,typAkceZkr,rok,datumOd,datumDo,hodinaSkutOd,hodinaSkutDo,katedra_right,nazev,prednasejici,prednasejiciUcitIdno,jmena
KFY,MK302,4680,Př,2023,9.12.2023,9.12.2023,09:00,12:50,KFY,Fyzika pevných látek,"'doc. RNDr. Jaroslav Pavlík, CSc.'",308,"Matoušek Jindřich, Mgr. Ph.D."
KFY,MK303,79,Př,2023,9.12.2023,9.12.2023,14:00,17:50,KFY,Astronomie a astrofyzika,"'doc. RNDr. Michal Varady, Ph.D.'",615,"Moravec Zdeněk, RNDr. Ph.D."
KFY,MK303,79,Př,2023,11.11.2023,11.11.2023,14:00,17:50,KFY,Astronomie a astrofyzika,"'doc. RNDr. Michal Varady, Ph.D.'",615,"Moravec Zdeněk, RNDr. Ph.D."
KCH,N213,2855,Př,2023,19.2.2024,13.5.2024,14:00,15:50,KCH,Fyzikální chemie NMgr.,"'prof. RNDr. Ivo Nezbeda, DrSc.', 'Ing. Magda Škvorová, Ph.D.'","305, 2856","Jirsák Jan, doc. RNDr. Ph.D."
KCH,N407,1064,Př,2023,22.2.2024,16.5.2024,10:00,11:50,KCH,Organ. chemie významn. skupin tox. látek,"'RNDr. Thu Huong Nguyen Thi, Ph.D.'",429,"Čermák Jan, doc. Ing. CSc."
KCH,N408,3563,Př,2023,23.2.2024,17.5.2024,09:00,10:50,KCH,Biosensory a monitoring ŽP,"'doc. Ing. Josef Trögl, Ph.D.'",2065,"Kuncová Gabriela, Ing. CSc."
KCH,N418,8200,Př,2023,5.10.2023,4.1.2024,16:00,16:50,KCH,Analýza organických látek v ŽP,'doc. Dr. Ing. Pavel Kuráň',7015,"Oravová Lucie, Ing. Ph.D."
KFY,NA01,8740,Př,2023,5.10.2023,4.1.2024,14:00,15:50,KFY,Úvod do kvantové fyziky a spektroskopie,"'doc. RNDr. Jan Jirsák, Ph.D.'",2855,"Pařez Stanislav, Mgr. Ph.D."
CNB,NA06,9281,Př,2023,2.10.2023,18.12.2023,08:00,09:50,CNB,Struk. látek a difr. analýza v mat. výz.,"'prof. RNDr. Pavla Čapková, DrSc.'",3553,"Daniš Stanislav, doc. RNDr. Ph.D."
KCH,OCHE,2856,Př,2023,3.10.2023,2.1.2024,12:00,13:50,KCH,Obecná chemie,"'doc. RNDr. Jan Jirsák, Ph.D.'",2855,"Škvorová Magda, Ing. Ph.D."
KMA,ODR,,Př,2023,5.10.2023,4.1.2024,15:00,16:50,KMA,Obyčejné diferenciální rovnice,"'doc. RNDr. Bohumír Opic, DrSc.', 'RNDr. Veronika Pitrová, PhD., Ph.D.'","8438, 5205",
KI,OOD,6973,Př,2023,4.10.2023,3.1.2024,16:00,16:50,KI,Objektově orientovaný návrh,"",,"Beránek Pavel, Ing. Mgr."
